Term,Year,level,Country_code,Country_name,Region_code,Region_name,Old_LA_code,New_LA_code,LA_name,School_type,Estab,LAEstab,URN,Academy_type,Academy_open_date,All_through,num_schools,enrolments,sess_possible,sess_overall,sess_authorised,sess_unauthorised,sess_overall_percent,sess_authorised_percent,sess_unauthorised_percent,enrolments_pa_10_exact,enrolments_pa_10_exact_percent,sess_auth_illness,sess_auth_appointments,sess_auth_religious,sess_auth_study,sess_auth_traveller,sess_auth_holiday,sess_auth_ext_holiday,sess_auth_excluded,sess_auth_other,sess_auth_totalreasons,sess_unauth_holiday,sess_unauth_late,sess_unauth_other,sess_unauth_noyet,sess_unauth_totalreasons,sess_overall_totalreasons
Autumn,200910,national,E92000001,England,,,,,,State-funded primary and secondary,,,,,,,20289,6174080,846182669,51863375,43996502,7866873,6.1,5.2,0.9,1230880,19.9,32424681,2718765,1134427,147776,117621,3744999,89935,610866,2850748,43839818,1196799,510128,4637699,1497353,7841979,51681797
Autumn,200910,national,E92000001,England,,,,,,State-funded primary,,,,,,,16965,3285635,451037938,24503230,21685175,2818055,5.4,4.8,0.6,570385,17.4,15766355,1136216,719067,1456,85210,2608701,71440,67478,1147654,21603577,615351,255947,1403150,536637,2811085,24414662
Autumn,200910,national,E92000001,England,,,,,,State-funded secondary,,,,,,,3324,2888445,395144731,27360145,22311327,5048818,6.9,5.6,1.3,660500,22.9,16658326,1582549,415360,146320,32411,1136298,18495,543388,1703094,22236241,581448,254181,3234549,960716,5030894,27267135
Autumn,200809,national,E92000001,England,,,,,,State-funded primary and secondary,,,,,,,20411,6197070,873173809,56074142,47530716,8543426,6.4,5.4,1,1283785,20.7,32864970,2897340,1893265,222987,131754,5092060,120180,729132,3325523,47277211,1181790,552114,4880593,1875101,8489598,55766809
Autumn,200809,national,E92000001,England,,,,,,State-funded primary,,,,,,,17056,3285085,463433617,25983150,23061527,2921623,5.6,5,0.6,582865,17.7,15725018,1201796,1168450,3143,96912,3384642,91871,77876,1238304,22988012,576063,274068,1437399,628201,2915731,25903743
Autumn,200809,national,E92000001,England,,,,,,State-funded secondary,,,,,,,3355,2911990,409740192,30090992,24469189,5621803,7.3,6,1.4,700920,24.1,17139952,1695544,724815,219844,34842,1707418,28309,651256,2087219,24289199,605727,278046,3443194,1246900,5573867,29863066
Autumn,200708,national,E92000001,England,,,,,,State-funded primary and secondary,,,,,,,20573,6268135,884232100,55353059,47007131,8345928,6.3,5.3,0.9,1238860,19.8,28694777,2831841,1196892,293254,137986,5302425,137508,674392,3430080,42699155,833920,505963,4170474,1935011,7445368,50144523
Autumn,200708,national,E92000001,England,,,,,,State-funded primary,,,,,,,17194,3320505,468529699,25118349,22502452,2615897,5.4,4.8,0.6,551510,16.6,13805062,1203260,737648,6801,98163,3452672,104774,80871,1208313,20697564,392960,243990,1121700,602286,2360936,23058500
Autumn,200708,national,E92000001,England,,,,,,State-funded secondary,,,,,,,3379,2947625,415702401,30234710,24504679,5730031,7.3,5.9,1.4,687350,23.3,14889715,1628581,459244,286453,39823,1849753,32734,593521,2221767,22001591,440960,261973,3048774,1332725,5084432,27086023
Autumn,200607,national,E92000001,England,,,,,,State-funded primary and secondary,,,,,,,20745,6351820,877648492,52094120,44228730,7865390,5.9,5,0.9,1180755,18.6,26741507,3765701,68391,689763,169946,5921692,188577,948477,4452127,42946181,624967,573953,4004602,2473367,7676889,50623070
Autumn,200607,national,E92000001,England,,,,,,State-funded primary,,,,,,,17349,3364390,465201717,22081219,19847079,2234140,4.7,4.3,0.5,482170,14.3,12139540,1582698,36921,43226,114304,3724506,137599,106303,1445497,19330594,309465,254837,1011502,614377,2190181,21520775
Autumn,200607,national,E92000001,England,,,,,,State-funded secondary,,,,,,,3396,2987430,412446775,30012901,24381651,5631250,7.3,5.9,1.4,698585,23.4,14601967,2183003,31470,646537,55642,2197186,50978,842174,3006630,23615587,315502,319116,2993100,1858990,5486708,29102295
